tv,radio,social_media,influencer,sales,total_budget,tv_share,radio_share,social_media_share,roi,tv_radio,tv_social,radio_social
16.0,6.566230788,2.907982773,Mega,54.73275715,25.474213561,0.6280861217437291,0.2577599018818244,0.11415397637444656,2.1485553231678036,105.059692608,46.527724368,19.09448601504622
13.0,9.237764567,2.409567204,Mega,46.67789698,24.647331770999998,0.5274404597132001,0.37479775307236846,0.09776178721443154,1.8938316493520455,120.09093937099999,31.324373652,22.25901453891646
41.0,15.88644602,2.913410175,Mega,150.1778288,59.799856195000004,0.6856203778534855,0.2656602712922293,0.04871935085428511,2.5113409689529766,651.34428682,119.449817175,46.283733479256256
83.0,30.02002826,6.922303959,Mega,298.2463398,119.94233221900001,0.691999217160895,0.2502871813863608,0.057713601452744144,2.4865811284662924,2491.66234558,574.551228597,207.80776047348988
15.0,8.437407682,1.40599815,Micro,56.5941808,24.843405832,0.603781949280037,0.33962363047388794,0.05659442024607506,2.278036320088723,126.56111523,21.089972250000002,11.862979591687788
29.0,9.614382036,1.02716349,Mega,105.8891476,39.641545526,0.7315557356606984,0.24253297666444773,0.025911287674853806,2.6711659748621477,278.817079044,29.78774121,9.875542206291065
55.0,24.89381148,4.273602146,Micro,198.6798248,84.167413626,0.6534595472351553,0.295765432339602,0.05077502042524269,2.360531424701236,1369.1596314,235.04811803,106.38624616304743
31.0,17.35504181,2.289854925,Nano,108.7339319,50.644896735,0.6121051082838188,0.3426809595606533,0.045213932155527777,2.1469869406378996,538.00629611,70.985502675,39.74052796220942
76.0,24.64889821,7.130115956,Macro,270.1894,107.779014166,0.7051465499855628,0.2286984938648265,0.0661549561496107,2.5068832006930157,1873.31626396,541.888812656,175.74950242494083
13.0,0.431127823,2.229423022,Mega,48.28058223,15.660550845000001,0.8301112859098795,0.02752954396477361,0.14235917012534688,3.082942784570998,5.604661699,28.982499286000003,0.9611662940209412
62.0,24.34518879,5.151483172,Nano,224.9610192,91.49667196200001,0.6776202748199363,0.26607731481327473,0.05630241036678898,2.458679800872209,1509.4017049800002,319.39195666399996,125.41383037084805
42.0,15.8073374,3.194924641,Mega,145.5439916,61.002262041,0.688499058801648,0.25912706957285925,0.052373871625492695,2.385878600734166,663.9081708,134.186834922,50.503251767860874
64.0,20.24042393,3.921147972,Micro,229.6323807,88.16157190199999,0.7259398694835218,0.22958329228180235,0.04447683823467588,2.604676569914819,1295.38713152,250.953470208,79.36569724553976
53.0,22.35166709,3.031815334,Mega,276.1653513,78.38348242400001,0.6761628644324188,0.28515787253611746,0.038679263031463594,3.5232595281508154,1184.6383557699999,160.686212702,67.76612702392515
34.0,0.226326491,2.372705624,Nano,121.3364193,36.599032115,0.9289863156262322,0.006183947441255988,0.06482973693251178,3.315290385787843,7.695100694,80.671991216,0.5370061380558854
36.0,3.90019598,0.060401795,Nano,123.5261126,39.960597775,0.9008874242247245,0.09760104195538402,0.0015115338198916622,3.0911978167974246,140.40705528,2.17446462,0.2355788380437841
60.0,22.35372075,0.940801841,Mega,212.7643968,83.294522591,0.7203354810569863,0.2683696364977465,0.011294882445267222,2.554362402012125,1341.2232450000001,56.448110459999995,21.0304216347999
25.0,9.905842649,1.853224897,Micro,89.8199226,36.759067546,0.6801043026653275,0.26948024828442424,0.050415449050248334,2.4434766330130677,247.646066225,46.330622425,18.357754222891234
100.0,36.11609149,3.67429598,Macro,353.8046387,139.79038747,0.7153567695880426,0.258358905384326,0.026284325027631315,2.5309654340569656,3611.6091490000003,367.429598,132.70120977501924
92.0,40.73698967,4.636563904,Nano,329.3505396,137.37355357400003,0.6697067783897843,0.29654171862166984,0.033751502988545665,2.397481400396229,3747.80304964,426.56387916799997,188.87965586154286
46.0,12.69509229,3.88458384,Macro,162.1913335,62.579676129999996,0.7350629284888247,0.2028628633939848,0.06207420811719053,2.591757316913427,583.97424534,178.69085664,49.31515035704259
78.0,35.56822382,2.832450089,Macro,276.4013399,116.400673909,0.6700992131796335,0.3055671640510141,0.024333622769352345,2.3745682101126464,2774.32145796,220.93110694199999,100.74521872453091
37.0,2.828972458,4.556701242,Micro,128.4846619,44.385673700000005,0.833602307133619,0.06373616129206122,0.10266153157431965,2.8947327186789997,104.671980946,168.597945954,12.890782312952393
99.0,37.26381865,6.88653481,Nano,349.8615752,143.15035346,0.6915805487526319,0.2603124459655106,0.04810700528185759,2.444014749134103,3689.1180463499995,681.76694619,256.6185842867522
75.0,20.34898797,1.227180495,Micro,272.2501078,96.576168465,0.7765891025919155,0.21070403075034647,0.012706866657738037,2.8190195586260574,1526.1740977499999,92.038537125,24.971881129773646
54.0,27.807614,4.060781965,Nano,192.4619083,85.868395965,0.6288693225620567,0.32383991441198456,0.047290763025958665,2.2413590720670684,1501.611156,219.28222611,112.92065742088153
53.0,34.11167359,4.624148295,Nano,342.9133724,91.73582188500001,0.5777459547529947,0.37184681936749187,0.05040722587951336,3.738053089335986,1807.91870027,245.07985963500002,157.73743727079506
27.0,7.280088955,2.179478014,Micro,96.74937343,36.459566968999994,0.7405463708045941,0.19967568350962445,0.05977794568578164,2.653607310044627,196.562401785,58.845906377999995,15.866793817386734
21.0,9.282685174,3.055758381,Mega,76.99292807,33.338443555,0.6299034316150757,0.2784378688430945,0.0916586995418299,2.3094337905421756,194.93638865399998,64.170926001,28.36564301863494
40.0,13.05041081,1.971184795,Nano,139.2887894,55.021595605,0.7269872776347668,0.2371870656694308,0.0358256566958024,2.5315294452737094,522.0164324,78.8473918,25.724771357175637
67.0,24.13761593,5.573093351,Mega,234.8510253,96.71070928099999,0.6927878049712843,0.24958576055797918,0.05762643447073656,2.4283869598931727,1617.2202673099998,373.39725451699996,134.52118684847468
